,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
34,46,ene1-weights-734m,2.0,-227.79999999999964,20.27500000000005,48.75,346.75,5,ene2-weights-814m,1.0,-277.79999999999995,22.775000000000006,57.5,325.75
35,33,ene1-weights-956m,2.0,-331.99999999999966,19.750000000000043,61.25,304.0,17,ene2-weights-457m,2.0,-284.9999999999998,14.375000000000028,50.0,332.125
36,21,ene2-weights-956,2.0,-270.99999999999966,18.625000000000043,52.5,242.625,16,ene1-weights-399,2.0,-290.3999999999998,22.450000000000017,58.75,283.0
37,19,ene2-weights-136,2.0,-211.59999999999968,16.05000000000004,42.5,351.125,35,ene2-weights-457,1.0,-294.39999999999986,21.95000000000001,58.75,327.125
38,23,ene2-weights-734,2.0,-327.39999999999964,15.325000000000031,56.25,289.0,41,ene1-weights-457m,2.0,-306.9999999999998,21.62500000000003,60.0,244.5
39,29,ene2-weights-197m,2.0,-268.9999999999998,15.125000000000032,48.75,349.625,26,ene7-weights-136m,2.0,-314.5999999999999,20.67500000000001,60.0,311.375
40,17,ene2-weights-457m,2.0,-284.9999999999998,14.375000000000028,50.0,332.125,8,ene1-weights-399m,1.0,-323.1999999999997,19.600000000000037,60.0,325.875
41,37,ene2-weights-555,2.0,-346.1999999999998,14.225000000000032,57.5,258.375,23,ene2-weights-734,2.0,-327.39999999999964,15.325000000000031,56.25,289.0
42,47,ene2-weights-136m,2.0,-336.5999999999998,12.925000000000026,55.0,292.625,33,ene1-weights-956m,2.0,-331.99999999999966,19.750000000000043,61.25,304.0
43,31,ene7-weights-136,2.0,-388.19999999999936,10.22500000000007,58.75,263.25,47,ene2-weights-136m,2.0,-336.5999999999998,12.925000000000026,55.0,292.625
44,42,ene7-weights-296,2.0,-391.7999999999995,9.77500000000007,58.75,243.75,37,ene2-weights-555,2.0,-346.1999999999998,14.225000000000032,57.5,258.375
45,5,ene2-weights-814m,1.0,-277.79999999999995,22.775000000000006,57.5,325.75,3,ene7-weights-555,1.0,-352.5999999999999,10.925000000000015,55.0,304.875
